iter	Passed	Remaining
759	6109	1929
760	6111	1919
761	6115	1910
762	6119	1900
763	6144	1898
764	6146	1888
765	6149	1878
766	6174	1875
767	6176	1865
768	6187	1858
769	6199	1851
770	6202	1842
771	6205	1832
772	6209	1823
773	6217	1815
774	6221	1806
775	6223	1796
776	6225	1786
777	6228	1777
778	6231	1767
779	6255	1764
780	6257	1754
781	6265	1746
782	6267	1736
783	6269	1727
784	6272	1717
785	6274	1708
786	6276	1698
787	6279	1689
788	6281	1679
789	6294	1673
790	6296	1663
791	6298	1654
792	6301	1645
793	6304	1635
794	6306	1626
795	6308	1616
796	6311	1607
797	6313	1598
798	6315	1588
799	6317	1579
800	6320	1570
801	6341	1565
802	6343	1556
803	6345	1546
804	6347	1537
805	6350	1528
806	6372	1524
807	6375	1514
808	6377	1505
809	6379	1496
810	6404	1492
811	6407	1483
812	6410	1474
813	6416	1466
814	6419	1457
815	6421	1448
816	6425	1439
817	6427	1430
818	6430	1421
819	6432	1412
820	6434	1402
821	6437	1393
822	6439	1384
823	6447	1377
824	6450	1368
825	6452	1359
826	6455	1350
827	6462	1342
828	6465	1333
829	6486	1328
830	6488	1319
831	6491	1310
832	6493	1301
833	6499	1293
834	6502	1284
835	6504	1275
836	6512	1268
837	6515	1259
838	6528	1252
839	6532	1244
840	6535	1235
841	6537	1226
842	6550	1219
843	6552	1211
844	6555	1202
845	6557	1193
846	6559	1184
847	6562	1176
848	6564	1167
849	6629	1169
850	6631	1161
851	6633	1152
852	6636	1143
853	6638	1134
854	6641	1126
855	6649	1118
856	6661	1111
857	6678	1105
858	6681	1096
859	6683	1087
860	6687	1079
861	6689	1070
862	6691	1062
863	6694	1053
864	6702	1046
865	6704	1037
866	6707	1028
867	6709	1020
868	6711	1011
869	6714	1003
870	6716	994
871	6736	988
872	6738	980
873	6741	971
874	6743	963
875	6746	954
876	6769	949
877	6777	941
878	6779	933
879	6781	924
880	6784	916
881	6786	907
882	6788	899
883	6791	891
884	6820	886
885	6829	878
886	6835	870
887	6838	862
888	6842	854
889	6848	846
890	6850	838
891	6853	829
892	6855	821
893	6864	813
894	6868	805
895	6872	797
896	6875	789
897	6879	781
898	6881	773
899	6887	765
900	6891	757
901	6894	749
902	6896	740
903	6898	732
904	6946	729
905	6958	721
906	6963	713
907	6968	706
908	6971	697
909	6974	689
910	6977	681
911	6979	673
912	6981	665
913	6985	657
914	6988	649
915	7003	642
916	7005	634
917	7008	626
918	7015	618
919	7034	611
920	7036	603
921	7039	595
922	7041	587
923	7044	579
924	7047	571
925	7072	565
926	7074	557
927	7077	549
928	7079	541
929	7081	533
930	7104	526
931	7107	518
932	7109	510
933	7112	502
934	7115	494
935	7117	486
936	7152	480
937	7155	472
938	7158	465
939	7165	457
940	7176	449
941	7179	442
942	7181	434
943	7183	426
944	7193	418
945	7196	410
946	7198	402
947	7200	394
948	7207	387
949	7209	379
950	7213	371
951	7216	363
952	7218	356
953	7221	348
954	7223	340
955	7225	332
956	7255	325
957	7257	318
958	7260	310
959	7271	302
960	7273	295
961	7275	287
962	7278	279
963	7280	271
964	7283	264
965	7287	256
966	7290	248
967	7292	241
968	7294	233
969	7299	225
970	7302	218
971	7304	210
972	7307	202
973	7309	195
974	7312	187
975	7333	180
976	7336	172
977	7338	165
978	7359	157
979	7362	150
980	7365	142
981	7367	135
982	7370	127
983	7372	119
984	7375	112
985	7377	104
986	7380	97
987	7382	898988	7391	82
989	7393	74
990	7402	67
991	7404	59
992	7407	52
993	7409	44
994	7414	37
995	7416	29
996	7419	22
997	7421	14
998	7424	7
999	7426	0
